,0,1,2,3,4,5,6,7,8,9,10
0,24.85,28.45,34.1,24.35,23.5,20.9,36.7,45.6,43.2,53.1,57.4
1,15.55,19.3,19.8,24.25,23.65,34.9,30.8,36.95,47.8,45.55,54.05
2,17.6,23.95,22.6,21.55,24.1,29.5,22.25,36.05,51.65,45.75,64.95
3,23.75,23.25,17.6,28.0,28.9,26.4,42.95,37.5,34.55,54.7,58.9
4,18.65,27.2,30.4,22.5,22.95,29.3,32.85,48.8,38.85,46.8,61.1
5,16.8,24.45,25.7,26.9,25.6,24.0,29.3,40.95,39.45,51.15,68.2
6,27.45,14.9,25.45,21.5,24.85,27.8,21.35,45.4,37.35,41.95,73.8
7,13.5,22.5,22.4,21.7,20.85,35.15,24.2,39.95,37.8,48.0,57.75
8,20.7,23.55,29.9,32.9,23.2,34.85,31.5,36.65,40.6,57.45,49.9
9,22.2,19.1,19.55,31.6,26.55,18.1,34.65,44.25,33.2,51.65,56.25
